anio;mes;provincia;canton;producto;presentacion;tipo;precio_prom_usd;precio_prom_usd_kg
2012;Mayo;Manabi;Chone ;Cacao en Baba CCN 51;Quintal de 100,00 libras;Compra;31,5;0,69
2012;Mayo;Manabi;Chone ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;32,5;0,72
2012;Mayo;Manabi;Chone ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;28,5;0,63
2012;Mayo;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;87,5;1,93
2012;Mayo;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;97,5;2,15
2012;Mayo;Manabi;Flavio Alfaro ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;30;0,66
2012;Mayo;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;75,33;1,66
2012;Mayo;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;90,67;2
2012;Mayo;Manabi;Portoviejo ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;30;0,66
2012;Mayo;Manabi;Portoviejo ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;67,5;1,49
2012;Mayo;Manabi;Portoviejo ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;79,33;1,75
2012;Julio;Manabi;Flavio Alfaro ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;85,5;1,88
2012;Julio;Manabi;Flavio Alfaro ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;88,5;1,95
2012;Julio;Manabi;Flavio Alfaro ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;31,5;0,69
2012;Julio;Manabi;Flavio Alfaro ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;29;0,64
2012;Julio;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;88,5;1,95
2012;Julio;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;91,25;2,01
2012;Agosto;Manabi;Bolivar;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;95;2,09
2012;Agosto;Manabi;Bolivar;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;42,5;0,94
2012;Agosto;Manabi;Bolivar;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;38;0,84
2012;Agosto;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;115;2,53
2012;Agosto;Manabi;Chone ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;95;2,09
2012;Agosto;Manabi;Chone ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;100;2,2
2012;Agosto;Manabi;Chone ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;43;0,95
2012;Agosto;Manabi;Chone ;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;40;0,88
2012;Agosto;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;98;2,16
2012;Agosto;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;102;2,25
2012;Agosto;Manabi;Flavio Alfaro ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;91,75;2,02
